,nombre,apellidos,nombreApellidos,movil,codigoPostal,pass,perfil,serviciosDisponibles,status,fotoV,bio,fechaInscripcion,estrellas,nOpinion
13,Dolores,Lobo,Dolores Lobo,644603054,14511,50796682,Ambos,"['Salud', 'El día a día']",0,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,08/08/2021,4.0,1
14,Nydia,Agudo,Nydia Agudo,649984050,39880,30835715,Ambos,"['Salud', 'El día a día']",0,mujer1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,29/11/2020,1.0,1
15,Martina,Cuervo,Martina Cuervo,679910140,41450,67938654,Voluntario,"['Nuevas Tecnologías', 'Salud']",1,mujer1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,01/12/2021,5.0,1
16,José,Rocamora,José Rocamora,689565324,28007,54776406,Voluntario,"['El día a día', 'Burocracia']",0,hombre2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,28/01/2020,2.0,1
17,Noé,Cortés,Noé Cortés,639315499,34473,78796201,Ambos,['Servicios del Municipio'],1,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",17/03/2022,2.0,1
18,Ildefonso,Navarro,Ildefonso Navarro,629228923,09315,30272635,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",0,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,14/12/2021,1.0,1
19,Cristian,Bru,Cristian Bru,677172163,46170,82172833,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,hombre2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,01/12/2021,4.0,1
20,Ricardo,Caballero,Ricardo Caballero,662051559,10460,45387648,Ambos,"['El día a día', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,07/07/2020,5.0,1
21,Plinio,Núñez,Plinio Núñez,655194342,33929,22620870,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",0,mujer2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,17/03/2021,1.0,1
22,Elisabet,Lamas,Elisabet Lamas,635729017,18131,68611658,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",0,hombre2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,13/05/2022,2.0,1
23,Noemí,Aroca,Noemí Aroca,627314506,33429,73947298,Voluntario,"['Amigos y Ocio', 'Burocracia']",0,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",25/08/2020,1.0,1
24,Luna,Segovia,Luna Segovia,678688795,45480,24320918,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",1,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,11/11/2019,1.0,1
25,Brunilda,Casanovas,Brunilda Casanovas,633404776,39460,49541917,Voluntario,"['Amigos y Ocio', 'El día a día']",0,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,15/03/2021,5.0,1
26,Ágata,Pinedo,Ágata Pinedo,677642120,23691,61686258,Ambos,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",1,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,05/07/2020,3.0,1
27,Cayetano,Marcos,Cayetano Marcos,602546230,49721,77547485,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Servicios del Municipio']",0,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,27/07/2020,5.0,1
28,Paula,Pardo,Paula Pardo,664027984,11408,47007741,Ambos,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",0,hombre1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,30/08/2019,3.0,1
29,Crescencia,Fernandez,Crescencia Fernandez,610589320,15218,53377241,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",0,hombre2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,01/07/2019,4.0,1
30,Julie,Baños,Julie Baños,631748529,25598,42746907,Ambos,"['El día a día', 'Burocracia']",0,hombre2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,22/05/2022,2.0,1
31,Artemio,Goñi,Artemio Goñi,650437976,40238,58723153,Ambos,"['Salud', 'El día a día', 'Servicios del Municipio']",1,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,24/07/2020,3.0,1
32,María Teresa,Mancebo,María Teresa Mancebo,629580654,25630,66468834,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,31/10/2019,2.0,1
33,Cebrián,Guerrero,Cebrián Guerrero,634821677,09135,51289623,Ambos,"['Nuevas Tecnologías', 'El día a día']",0,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,21/04/2020,2.0,1
34,Roxana,Cabrero,Roxana Cabrero,615151652,28294,57913870,Ambos,['Nuevas Tecnologías'],1,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",19/11/2021,2.0,1
35,Ricardo,Santana,Ricardo Santana,686017001,22549,81280252,Ambos,"['Salud', 'El día a día']",0,hombre2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,19/12/2021,4.0,1
36,Fabiola,Patiño,Fabiola Patiño,693040100,49018,83521366,Ambos,"['Amigos y Ocio', 'Burocracia']",1,mujer2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,19/12/2020,1.0,1
37,Fermín,Pellicer,Fermín Pellicer,622217256,44121,27082321,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,03/03/2022,5.0,1
38,Pedro,Gallego,Pedro Gallego,609204785,43361,77459026,Ambos,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,30/06/2021,1.0,1
39,Herminia,Lasa,Herminia Lasa,672589665,28250,53810396,Voluntario,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",21/06/2021,4.0,1
40,Judith,Bellido,Judith Bellido,611566960,08225,82402085,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,hombre1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,25/03/2020,4.0,1
41,Emelina,Donoso,Emelina Donoso,674943628,18760,79048913,Ambos,"['Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,30/06/2020,5.0,1
42,Bibiana,Hierro,Bibiana Hierro,649327579,40332,39770124,Ambos,"['El día a día', 'Servicios del Municipio']",0,hombre1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,28/02/2022,4.0,1
43,Fernando,Sevilla,Fernando Sevilla,645268415,44121,30888810,Voluntario,"['Salud', 'Amigos y Ocio']",0,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",26/09/2021,2.0,1
44,Reynaldo,Lerma,Reynaldo Lerma,650642219,32829,50117852,Voluntario,['Servicios del Municipio'],1,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,23/02/2020,4.0,1
45,Ángela,Gimenez,Ángela Gimenez,649032809,50513,69166460,Ambos,"['Salud', 'Burocracia']",0,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",13/01/2020,4.0,1
46,Isidora,Morata,Isidora Morata,658410224,36545,33009075,Voluntario,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,13/03/2020,2.0,1
47,Pía,Barba,Pía Barba,611820476,14110,20452954,Ambos,['Servicios del Municipio'],0,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,04/04/2021,2.0,1
48,Jenaro,Antón,Jenaro Antón,623179106,34246,74844306,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",0,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",11/07/2020,4.0,1
49,Noa,Moles,Noa Moles,639649474,42269,53515499,Ambos,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,25/04/2020,4.0,1
50,Salvador,Leal,Salvador Leal,629886280,05210,50351393,Ambos,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,29/08/2021,2.0,1
51,Blas,Galván,Blas Galván,638227288,26320,37883804,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,17/02/2020,2.0,1
52,Xiomara,Miranda,Xiomara Miranda,643881041,46112,67520401,Voluntario,['Nuevas Tecnologías'],1,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,16/10/2020,5.0,1
53,Ibán,Valera,Ibán Valera,689359593,02230,75119366,Voluntario,['Burocracia'],1,hombre2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,28/03/2021,1.0,1
54,Ruy,Segarra,Ruy Segarra,628013834,19190,51743406,Ambos,['Nuevas Tecnologías'],1,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,12/10/2020,2.0,1
55,Eric,Landa,Eric Landa,637632744,44480,40155071,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,18/06/2021,1.0,1
56,Emilio,Huerta,Emilio Huerta,665446870,10262,20593246,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",1,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",13/09/2019,2.0,1
57,Marcela,Jódar,Marcela Jódar,696156646,46318,29102348,Voluntario,"['Nuevas Tecnologías', 'El día a día']",0,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",18/11/2020,5.0,1
58,Margarita,Romero,Margarita Romero,655300798,09572,41812864,Voluntario,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,27/10/2021,3.0,1
59,Tomasa,Pujol,Tomasa Pujol,649400905,38260,14489992,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,hombre2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,13/03/2021,4.0,1
60,Porfirio,Chacón,Porfirio Chacón,603769206,05140,75108460,Voluntario,"['Burocracia', 'Servicios del Municipio']",0,hombre1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,05/09/2019,4.0,1
61,Araceli,Uriarte,Araceli Uriarte,640463492,38190,40177158,Voluntario,"['Salud', 'El día a día']",1,mujer1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,24/09/2021,3.0,1
62,Ciriaco,Arévalo,Ciriaco Arévalo,656400256,09612,54831697,Voluntario,"['Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",04/06/2021,1.0,1
63,Rosalinda,Canals,Rosalinda Canals,604964375,25266,52289711,Voluntario,"['Salud', 'El día a día', 'Servicios del Municipio']",1,mujer1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,11/11/2019,5.0,1
64,Ezequiel,Cuesta,Ezequiel Cuesta,677021401,30563,48753178,Voluntario,"['Amigos y Ocio', 'Servicios del Municipio']",1,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,25/06/2019,2.0,1
65,Mónica,Bartolomé,Mónica Bartolomé,613189472,10194,40730862,Ambos,"['Salud', 'El día a día']",1,hombre2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,14/01/2020,4.0,1
66,Rogelio,Pizarro,Rogelio Pizarro,661144139,28031,22143863,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,10/01/2021,1.0,1
67,Débora,Solé,Débora Solé,661134825,24174,84949685,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,14/02/2021,4.0,1
68,Benigna,Iglesias,Benigna Iglesias,608822069,31730,29244554,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",0,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,16/05/2021,4.0,1
69,Carolina,Alberdi,Carolina Alberdi,618128641,27379,63263716,Voluntario,"['Salud', 'El día a día']",1,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,20/01/2020,5.0,1
70,Irma,Carbó,Irma Carbó,647475778,33811,66914456,Ambos,"['Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,hombre2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,29/09/2020,5.0,1
71,Isabel,Nieto,Isabel Nieto,651129304,05514,12524432,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,03/06/2022,5.0,1
72,Dani,Marin,Dani Marin,636947090,24400,79965234,Voluntario,"['Nuevas Tecnologías', 'El día a día', 'Servicios del Municipio']",0,hombre2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,10/11/2020,1.0,1
73,Trinidad,Cruz,Trinidad Cruz,662300438,09692,14156744,Ambos,"['Nuevas Tecnologías', 'El día a día']",0,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,10/11/2020,4.0,1
74,Wilfredo,Acero,Wilfredo Acero,684862188,25540,15676079,Voluntario,"['Salud', 'Servicios del Municipio']",0,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,27/08/2020,1.0,1
75,Lorenza,Lago,Lorenza Lago,611693928,27619,36970201,Ambos,"['Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,27/06/2022,4.0,1
76,Angelita,Escalona,Angelita Escalona,680643167,19450,49238132,Ambos,"['Amigos y Ocio', 'El día a día', 'Burocracia']",1,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,18/01/2020,3.0,1
77,Anunciación,Camino,Anunciación Camino,604842849,21007,85051389,Voluntario,"['El día a día', 'Burocracia', 'Servicios del Municipio']",0,hombre2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,31/10/2021,5.0,1
78,Sabina,Martín,Sabina Martín,601252222,27657,64738340,Voluntario,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,01/01/2022,5.0,1
79,Prudencia,Vera,Prudencia Vera,699785600,05514,74575013,Voluntario,"['Salud', 'Burocracia', 'Servicios del Municipio']",0,hombre1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,23/12/2021,1.0,1
80,Emelina,Coronado,Emelina Coronado,696894418,30893,64876014,Voluntario,"['Salud', 'El día a día']",0,hombre2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,24/06/2021,4.0,1
81,Raúl,Cuéllar,Raúl Cuéllar,605146367,19140,61074308,Ambos,"['Nuevas Tecnologías', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,11/03/2020,1.0,1
82,Calista,Abascal,Calista Abascal,634189477,01117,57227908,Ambos,"['El día a día', 'Burocracia']",1,hombre2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,14/06/2022,1.0,1
83,Elena,Morante,Elena Morante,623993274,29005,81267354,Voluntario,"['Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,06/03/2020,2.0,1
84,Amaya,Aliaga,Amaya Aliaga,611354599,06360,31183450,Voluntario,"['Salud', 'Amigos y Ocio']",1,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",22/07/2020,1.0,1
85,Dani,Parejo,Dani Parejo,688264373,46172,49054340,Voluntario,"['Amigos y Ocio', 'El día a día', 'Burocracia']",0,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",12/09/2020,2.0,1
86,Selena,Meléndez,Selena Meléndez,658568366,15808,35443287,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,12/09/2021,1.0,1
87,Jose,Barco,Jose Barco,679870741,21309,79182317,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",0,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,27/06/2022,2.0,1
88,Jose Angel,Bermúdez,Jose Angel Bermúdez,675528424,50239,13559037,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",23/11/2021,5.0,1
89,Che,Torre,Che Torre,657455435,01470,84448091,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio']",1,mujer1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,07/05/2021,4.0,1
90,Olalla,Bayón,Olalla Bayón,638227781,29460,81462910,Ambos,"['Amigos y Ocio', 'El día a día']",1,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,07/10/2021,1.0,1
91,Martirio,Casas,Martirio Casas,696460978,34850,36131927,Voluntario,"['Burocracia', 'Servicios del Municipio']",1,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,28/07/2021,1.0,1
92,Eduardo,Talavera,Eduardo Talavera,697602246,10864,17399922,Ambos,"['Burocracia', 'Servicios del Municipio']",1,hombre2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,22/07/2019,2.0,1
93,Carmela,Dalmau,Carmela Dalmau,698341569,37766,52032036,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia']",1,hombre2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,02/04/2020,4.0,1
94,Juan Manuel,Álamo,Juan Manuel Álamo,660517412,27134,27689384,Ambos,"['Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",05/08/2019,1.0,1
95,Salud,Rocha,Salud Rocha,637482198,08605,43664121,Voluntario,"['Amigos y Ocio', 'Burocracia']",1,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,19/10/2019,1.0,1
96,Héctor,Font,Héctor Font,600251221,38350,21381260,Ambos,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",0,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,16/05/2020,4.0,1
97,Leyre,Mesa,Leyre Mesa,670017877,30004,32016629,Ambos,"['Amigos y Ocio', 'Servicios del Municipio']",1,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",31/10/2019,1.0,1
98,Sabas,Perea,Sabas Perea,658281190,47134,44059802,Voluntario,"['Burocracia', 'Servicios del Municipio']",1,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,17/04/2022,1.0,1
99,Urbano,Villar,Urbano Villar,693893010,28293,45471290,Ambos,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",1,hombre1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,16/06/2019,2.0,1
100,Vito,Carrillo,Vito Carrillo,610976809,38429,53401952,Ambos,"['Amigos y Ocio', 'Burocracia']",0,hombre2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,22/05/2021,3.0,1
101,Jose Miguel,Gomila,Jose Miguel Gomila,618626472,38589,69744969,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,29/04/2022,2.0,1
102,Bernardo,Neira,Bernardo Neira,642437020,38650,55026898,Ambos,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",1,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,12/01/2022,5.0,1
