,Nombre,Apellidos,Nombre y Apellidos,Móvil,Código Postal,Pass,Perfil,Servicios Disponibles,Status,FotoV,Bio,Fecha inscripción,Estrellas,N_opinion
18,Ildefonso,Navarro,Ildefonso Navarro,629290707,44311,70687241,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,16/02/2022,2.0,1
19,Cristian,Bru,Cristian Bru,640222488,16710,49835437,Ambos,"['Nuevas Tecnologías', 'El día a día']",1,mujer2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,02/10/2020,2.0,1
20,Ricardo,Caballero,Ricardo Caballero,687744182,25538,30028882,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",1,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,02/12/2021,1.0,1
21,Plinio,Núñez,Plinio Núñez,694534988,25599,66363088,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,09/08/2020,3.0,1
22,Elisabet,Lamas,Elisabet Lamas,648779216,09248,24372632,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",0,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,27/06/2022,2.0,1
23,Noemí,Aroca,Noemí Aroca,663153950,31451,66297552,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",0,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,20/09/2021,5.0,1
24,Luna,Segovia,Luna Segovia,694758189,45663,77564674,Voluntario,"['Amigos y Ocio', 'Burocracia']",0,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",24/03/2022,5.0,1
25,Brunilda,Casanovas,Brunilda Casanovas,678651686,42126,52610014,Ambos,"['Salud', 'El día a día', 'Servicios del Municipio']",1,hombre2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,01/06/2020,2.0,1
26,Ágata,Pinedo,Ágata Pinedo,686402086,27577,27965403,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Servicios del Municipio']",1,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",10/12/2020,3.0,1
27,Cayetano,Marcos,Cayetano Marcos,626696982,13459,36523430,Voluntario,"['Salud', 'Servicios del Municipio']",1,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,24/04/2020,3.0,1
28,Paula,Pardo,Paula Pardo,668427587,50219,68235945,Ambos,['Burocracia'],0,hombre2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,26/08/2019,4.0,1
29,Crescencia,Fernandez,Crescencia Fernandez,609568251,34111,48151663,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",0,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,04/03/2021,5.0,1
30,Julie,Baños,Julie Baños,689176349,27280,50359414,Ambos,['Amigos y Ocio'],0,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",16/07/2019,5.0,1
31,Artemio,Goñi,Artemio Goñi,649297079,22375,37976975,Ambos,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,17/03/2021,5.0,1
32,María Teresa,Mancebo,María Teresa Mancebo,679467947,50214,75897262,Voluntario,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",1,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",26/01/2021,5.0,1
33,Cebrián,Guerrero,Cebrián Guerrero,644530103,04259,31978691,Voluntario,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,21/11/2019,5.0,1
34,Roxana,Cabrero,Roxana Cabrero,671633681,24497,62818486,Voluntario,"['Salud', 'Burocracia']",0,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,17/02/2022,1.0,1
35,Ricardo,Santana,Ricardo Santana,660130537,10890,37464245,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",17/08/2019,5.0,1
36,Fabiola,Patiño,Fabiola Patiño,659276551,09370,15235095,Ambos,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",1,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,18/11/2021,5.0,1
37,Fermín,Pellicer,Fermín Pellicer,653805329,04211,68965134,Ambos,"['Amigos y Ocio', 'Servicios del Municipio']",1,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,24/01/2022,2.0,1
38,Pedro,Gallego,Pedro Gallego,665453033,30816,51215456,Ambos,['El día a día'],1,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",22/07/2020,4.0,1
39,Herminia,Lasa,Herminia Lasa,629472441,15841,58021652,Ambos,"['Salud', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",13/06/2019,4.0,1
40,Judith,Bellido,Judith Bellido,687400740,43783,77664643,Voluntario,"['Nuevas Tecnologías', 'Burocracia']",1,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",08/06/2019,3.0,1
41,Emelina,Donoso,Emelina Donoso,683350810,36729,49436251,Voluntario,"['Salud', 'El día a día']",0,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,26/01/2021,2.0,1
42,Bibiana,Hierro,Bibiana Hierro,698816276,38811,84236398,Ambos,"['Amigos y Ocio', 'Burocracia']",0,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",11/04/2021,2.0,1
43,Fernando,Sevilla,Fernando Sevilla,648168881,33948,18677510,Ambos,"['Nuevas Tecnologías', 'Salud']",1,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,03/12/2021,1.0,1
44,Reynaldo,Lerma,Reynaldo Lerma,682284428,42174,67617669,Voluntario,"['Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",1,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,27/07/2021,1.0,1
45,Ángela,Gimenez,Ángela Gimenez,661447346,24913,20044846,Voluntario,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,01/08/2019,3.0,1
46,Isidora,Morata,Isidora Morata,629169138,03679,25163391,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",0,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",30/03/2021,3.0,1
47,Pía,Barba,Pía Barba,689971852,32348,56707940,Voluntario,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",1,hombre2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,28/05/2022,3.0,1
48,Jenaro,Antón,Jenaro Antón,651152034,47004,78005860,Ambos,"['Salud', 'Amigos y Ocio']",0,mujer2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,16/05/2021,2.0,1
49,Noa,Moles,Noa Moles,689586168,46670,71106359,Ambos,"['Nuevas Tecnologías', 'Salud', 'Burocracia', 'Servicios del Municipio']",0,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,20/01/2022,3.0,1
50,Salvador,Leal,Salvador Leal,611713843,18181,41924871,Voluntario,"['Burocracia', 'Servicios del Municipio']",1,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,03/04/2021,5.0,1
51,Blas,Galván,Blas Galván,667585529,03827,19835084,Ambos,"['Amigos y Ocio', 'Burocracia']",1,hombre1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,08/07/2020,2.0,1
52,Xiomara,Miranda,Xiomara Miranda,661959840,33920,72089027,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",0,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,27/01/2022,3.0,1
53,Ibán,Valera,Ibán Valera,680215203,19244,32596685,Ambos,"['Burocracia', 'Servicios del Municipio']",0,mujer1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,05/08/2019,5.0,1
54,Ruy,Segarra,Ruy Segarra,678808612,07669,71383839,Ambos,"['Nuevas Tecnologías', 'Servicios del Municipio']",0,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,22/12/2021,5.0,1
55,Eric,Landa,Eric Landa,609607367,29551,34925995,Voluntario,"['Nuevas Tecnologías', 'Burocracia']",1,hombre1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,04/01/2022,2.0,1
56,Emilio,Huerta,Emilio Huerta,684057567,16647,84849724,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'Servicios del Municipio']",1,mujer2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,14/02/2020,3.0,1
57,Marcela,Jódar,Marcela Jódar,677013762,28042,69472359,Ambos,"['Nuevas Tecnologías', 'Salud']",0,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,03/06/2022,4.0,1
58,Margarita,Romero,Margarita Romero,626622962,15582,73991420,Ambos,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",03/05/2020,4.0,1
59,Tomasa,Pujol,Tomasa Pujol,609063854,29792,61574626,Voluntario,['Nuevas Tecnologías'],0,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,31/10/2019,2.0,1
60,Porfirio,Chacón,Porfirio Chacón,644427395,15894,46286534,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",0,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",09/10/2021,3.0,1
61,Araceli,Uriarte,Araceli Uriarte,618040687,42182,60683601,Voluntario,['Burocracia'],0,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,10/04/2022,3.0,1
62,Ciriaco,Arévalo,Ciriaco Arévalo,639438733,37606,30723483,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,15/09/2021,3.0,1
63,Rosalinda,Canals,Rosalinda Canals,639529857,20267,81416296,Voluntario,"['Nuevas Tecnologías', 'El día a día']",1,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,25/05/2019,4.0,1
64,Ezequiel,Cuesta,Ezequiel Cuesta,643888682,33677,22789294,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",1,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",15/04/2021,2.0,1
65,Mónica,Bartolomé,Mónica Bartolomé,602558389,42129,81542700,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,16/06/2022,1.0,1
66,Rogelio,Pizarro,Rogelio Pizarro,656765425,30609,61862053,Voluntario,"['Salud', 'Burocracia', 'Servicios del Municipio']",0,hombre2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,17/08/2020,3.0,1
67,Débora,Solé,Débora Solé,677778913,31416,62657942,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'El día a día']",1,hombre2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,10/08/2019,4.0,1
68,Benigna,Iglesias,Benigna Iglesias,648296655,17468,34777137,Voluntario,"['El día a día', 'Burocracia']",1,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,14/11/2019,2.0,1
69,Carolina,Alberdi,Carolina Alberdi,611262564,32625,17349504,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio']",0,hombre1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,10/08/2021,2.0,1
70,Irma,Carbó,Irma Carbó,662237286,13196,86764774,Ambos,"['Nuevas Tecnologías', 'Salud', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,hombre1.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,04/02/2020,5.0,1
71,Isabel,Nieto,Isabel Nieto,685169681,37874,51764640,Ambos,"['Amigos y Ocio', 'Servicios del Municipio']",0,hombre2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,23/10/2020,4.0,1
72,Dani,Marin,Dani Marin,696700988,22464,75221397,Voluntario,"['Salud', 'El día a día', 'Servicios del Municipio']",0,hombre2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,02/04/2022,5.0,1
73,Trinidad,Cruz,Trinidad Cruz,644415578,08460,46474235,Ambos,"['El día a día', 'Burocracia']",0,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",16/08/2020,2.0,1
74,Wilfredo,Acero,Wilfredo Acero,614706526,22534,17153003,Voluntario,"['Nuevas Tecnologías', 'El día a día', 'Burocracia']",0,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,08/01/2020,1.0,1
75,Lorenza,Lago,Lorenza Lago,647286722,08278,84838875,Ambos,"['Amigos y Ocio', 'Burocracia']",1,mujer1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,05/06/2022,5.0,1
76,Angelita,Escalona,Angelita Escalona,600107611,12221,76870821,Voluntario,"['Amigos y Ocio', 'Servicios del Municipio']",0,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",29/08/2020,5.0,1
77,Anunciación,Camino,Anunciación Camino,640546379,20739,44017334,Ambos,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",0,hombre2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",19/02/2020,3.0,1
78,Sabina,Martín,Sabina Martín,613402276,23265,71525001,Voluntario,"['Amigos y Ocio', 'El día a día']",1,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,27/08/2019,4.0,1
79,Prudencia,Vera,Prudencia Vera,648632350,09350,80110353,Voluntario,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,04/07/2021,4.0,1
80,Emelina,Coronado,Emelina Coronado,638857854,49028,87256543,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Servicios del Municipio']",0,mujer2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,10/04/2020,3.0,1
81,Raúl,Cuéllar,Raúl Cuéllar,697231364,05146,17481957,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",0,mujer1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,17/03/2022,3.0,1
82,Calista,Abascal,Calista Abascal,638709566,10991,57561464,Ambos,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",0,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",10/06/2021,4.0,1
83,Elena,Morante,Elena Morante,681407697,46813,86833230,Ambos,"['Nuevas Tecnologías', 'Salud', 'Amigos y Ocio', 'Burocracia', 'Servicios del Municipio']",0,mujer2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,24/06/2019,3.0,1
84,Amaya,Aliaga,Amaya Aliaga,640799056,27744,46986379,Voluntario,"['El día a día', 'Burocracia']",0,hombre1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,17/01/2022,3.0,1
85,Dani,Parejo,Dani Parejo,668472797,15882,42700382,Ambos,"['Salud', 'Amigos y Ocio', 'Servicios del Municipio']",0,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",02/04/2020,5.0,1
86,Selena,Meléndez,Selena Meléndez,626806279,08519,59537003,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día']",1,hombre1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",22/06/2019,4.0,1
87,Jose,Barco,Jose Barco,674332042,49177,55201884,Ambos,"['Salud', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer2.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,12/09/2020,2.0,1
88,Jose Angel,Bermúdez,Jose Angel Bermúdez,671601745,37253,23008390,Voluntario,"['Salud', 'El día a día', 'Servicios del Municipio']",1,hombre2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,11/09/2019,5.0,1
89,Che,Torre,Che Torre,669621396,13248,16386609,Voluntario,"['Amigos y Ocio', 'Servicios del Municipio']",1,hombre2.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,11/07/2019,3.0,1
90,Olalla,Bayón,Olalla Bayón,636639897,49622,81162304,Voluntario,['Salud'],1,hombre1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,19/09/2021,4.0,1
91,Martirio,Casas,Martirio Casas,636913685,38520,40387215,Ambos,"['Nuevas Tecnologías', 'Burocracia', 'Servicios del Municipio']",1,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,09/06/2020,3.0,1
92,Eduardo,Talavera,Eduardo Talavera,661155882,16720,73007424,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia', 'Servicios del Municipio']",1,mujer2.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,16/10/2021,1.0,1
93,Carmela,Dalmau,Carmela Dalmau,645427600,42138,45543372,Ambos,"['Salud', 'El día a día']",0,mujer1.png,Quiero devolver a la comunidad lo que me dieron sin pedir nada a cambio.,14/12/2020,5.0,1
94,Juan Manuel,Álamo,Juan Manuel Álamo,631457132,35540,19740453,Ambos,"['Nuevas Tecnologías', 'Salud']",0,mujer2.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",14/12/2019,2.0,1
95,Salud,Rocha,Salud Rocha,605161784,47313,77191341,Ambos,"['Nuevas Tecnologías', 'Burocracia']",1,hombre2.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,13/03/2021,3.0,1
96,Héctor,Font,Héctor Font,654598688,08785,18383788,Voluntario,"['Salud', 'Amigos y Ocio']",1,mujer1.png,Me encanta sertirme útil y por eso estaría encantada de poder ayudarte.,22/12/2019,2.0,1
97,Leyre,Mesa,Leyre Mesa,664460623,06468,43067982,Voluntario,"['Nuevas Tecnologías', 'Amigos y Ocio', 'El día a día', 'Burocracia']",1,mujer1.png,"Me gusta trabajar con otras personas, codo con codo, sumando fuerzas, compartiendo experiencias y aprendiendo unas de otras, creciendo juntos.",01/09/2021,5.0,1
98,Sabas,Perea,Sabas Perea,607419020,08913,78984225,Voluntario,"['Amigos y Ocio', 'Burocracia']",1,mujer1.png,Soy una persona a la que le fascina conocer personas diferentes y aprender de los demas para conseguir un objetivo común.,01/02/2021,3.0,1
99,Urbano,Villar,Urbano Villar,689636816,07071,69790514,Voluntario,"['Amigos y Ocio', 'Burocracia']",0,hombre1.png,Soy una persona muy atenta. Me gusta aportar mi granito de arena siempre que puedo. Estaría encantada de poder acompañarte en lo que necesites.,11/01/2021,2.0,1
100,Vito,Carrillo,Vito Carrillo,608063358,46035,64627575,Voluntario,"['El día a día', 'Burocracia']",0,hombre2.png,Me gusta pasar mi tiempo ayudando a los demás y hacer nuevos amigos.,04/09/2020,4.0,1
