,Nombre y Apellidos,Foto miembro,Asunto,Texto,Fecha creacion,Kms
29,Ana Pulido,opinion4.png,Que no se pone el banco en el teléfono,Quiero consultar mi cuenta del banco por el móvil,05/07/2022,31km
30,Esmeralda Real,opinion6.png,Quiero poner música en mi móvil,Me gusta un grupo de música nuevo y quiero tenerlo en el móvil,03/07/2022,30km
31,Jose Manuel Valera,opinion4.png,Quiero poner dibujos en el chat como mi vecina,He visto que mi vecina está poniendo muñecos en el chat y también quiero,17/07/2022,38km
32,Marcela Cabanillas,opinion5m.png,Llamar a mis nietos por el ordenador,Quiero ver a mis nietos por el ordenador,20/06/2022,9km
33,Bernarda Galván,opinion2m.png,Llamar a mis nietos por el ordenador,Quiero ver a mis nietos por el ordenador,19/06/2022,15km
34,Gabriel Benítez,miembrom4.png,Que no se pone el banco en el teléfono,Quiero consultar mi cuenta del banco por el móvil,30/06/2022,17km
35,Jose Luis Berrocal,miembrom4.png,Que no se pone el banco en el teléfono,Quiero consultar mi cuenta del banco por el móvil,20/06/2022,26km
36,Alejo Losada,opinion5m.png,No sé qué móvil comprarme,Se me ha roto el móvil y quiero saber cuál comprarme,10/07/2022,19km
37,Perlita Tolosa,miembrom3.png,Llamar a mis nietos por el ordenador,Quiero ver a mis nietos por el ordenador,23/07/2022,20km
38,Isidoro Naranjo,opinion1.png,Quiero poner dibujos en el chat como mi vecina,He visto que mi vecina está poniendo muñecos en el chat y también quiero,05/07/2022,17km
39,Santos Arroyo,miembroh1.png,Que no se pone el banco en el teléfono,Quiero consultar mi cuenta del banco por el móvil,25/06/2022,18km
